City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Whitehorse,CA,60.7161,-135.0538,-5.03,84,20,3.44,few clouds
331,Bengkulu,ID,-3.8004,102.2655,75.85,85,100,4.72,overcast clouds
332,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,14.97,scattered clouds
333,Comarapa,BO,-17.9,-64.4833,62.76,83,80,5.53,broken clouds
334,Esperance,AU,-33.8667,121.9,64.24,89,95,16.08,overcast clouds
335,Harper,LR,4.375,-7.7169,79.3,81,64,5.08,broken clouds
336,Karachi,PK,24.9056,67.0822,67.82,34,4,8.05,haze
337,Namibe,AO,-15.1961,12.1522,69.42,76,92,5.48,overcast clouds
338,Salalah,OM,17.0151,54.0924,75.29,73,0,4.61,clear sky
339,Arman,RU,59.7,150.1667,11.61,94,100,4.59,light snow
340,Aklavik,CA,68.2191,-135.0107,-12.17,70,40,16.11,scattered clouds
341,Koumac,NC,-20.5667,164.2833,81.52,70,38,0.65,scattered clouds
342,Patti,IN,31.2808,74.8572,57.15,40,0,4.52,clear sky
343,Mumford,GH,5.2618,-0.759,81.1,82,75,7.4,broken clouds
